kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_depth,koi_duration,koi_time0bk,koi_impact,koi_model_snr,koi_prad,ra,dec,koi_kepmag,kic9,fits_stem,lc_llc_glob,lc_slc_glob
11918099,K00780.02,,CANDIDATE,7.2406612,556.4,0.558,137.75545,1.198,13.7,19.45,293.83331,50.23035,15.334,011918099,kplr011918099,kplr011918099-*_llc.fits,kplr011918099-*_slc.fits
9579641,K00115.03,,CANDIDATE,3.43591631,23.2,3.133,132.6624,0.624,8.7,0.55,287.88733,46.276241,12.791,009579641,kplr009579641,kplr009579641-*_llc.fits,kplr009579641-*_slc.fits
11923270,K00781.01,Kepler-676 b,CONFIRMED,11.59822233,2804.5,2.5237,180.395376,0.679,71.0,2.65,296.22195,50.28722,15.937,011923270,kplr011923270,kplr011923270-*_llc.fits,kplr011923270-*_slc.fits
11960862,K00782.01,Kepler-677 b,CONFIRMED,6.575315881,2793.3,4.3084,173.634044,0.39,221.1,5.31,290.09805,50.321609,15.312,011960862,kplr011960862,kplr011960862-*_llc.fits,kplr011960862-*_slc.fits
12020329,K00783.01,Kepler-678 b,CONFIRMED,7.275040844,3001.0,7.5377,169.994217,0.547,312.1,4.86,295.45529,50.49456,15.08,012020329,kplr012020329,kplr012020329-*_llc.fits,kplr012020329-*_slc.fits
12066335,K00784.02,Kepler-231 b,CONFIRMED,10.06524317,1053.3,1.369,136.28906,0.628,30.3,1.91,293.97336,50.53191,15.385,012066335,kplr012066335,kplr012066335-*_llc.fits,kplr012066335-*_slc.fits
12070811,K00785.01,Kepler-679 b,CONFIRMED,12.3935651,916.6,3.8896,178.74725,0.883,35.8,2.66,296.02133,50.56778,15.505,012070811,kplr012070811,kplr012070811-*_llc.fits,kplr012070811-*_slc.fits
3120431,K00798.01,,FALSE POSITIVE,3.341913228,725.3,3.813,171.63943,1.213,39.0,21.55,292.31595,38.27029,15.629,003120431,kplr003120431,kplr003120431-*_llc.fits,kplr003120431-*_slc.fits
3246984,K00799.01,,FALSE POSITIVE,1.626630225,1620.6,2.1145,169.820171,1.26,103.6,32.43,294.36819,38.31028,15.279,003246984,kplr003246984,kplr003246984-*_llc.fits,kplr003246984-*_slc.fits
3342970,K00800.02,Kepler-234 c,CONFIRMED,7.21203748,950.4,4.0491,172.81782,0.012,51.5,3.32,291.65353,38.494659,15.541,003342970,kplr003342970,kplr003342970-*_llc.fits,kplr003342970-*_slc.fits
12459725,K00789.01,,FALSE POSITIVE,14.1798187,459.9,2.505,171.50237,0.1601,11.2,1.88,291.0448,51.321671,15.727,012459725,kplr012459725,kplr012459725-*_llc.fits,kplr012459725-*_slc.fits
12470844,K00790.02,Kepler-233 c,CONFIRMED,60.4189369,931.3,5.039,181.16367,0.094,20.1,2.36,296.36652,51.319519,15.339,012470844,kplr012470844,kplr012470844-*_llc.fits,kplr012470844-*_slc.fits
